id,label,"type(1=animated, 2=live-action)","release(1=cinematic, 2=tv, 3=video)","place(1=hollywood, 2=japan, 3=internationaal)",franchise,year,"age_rating(child=1, teen=2, adult=3)",cc_mc,ac_mc,cc_rt,ac_rt
1,Super Mario Bros.,2,1,1,Super Mario,1993,1,NA,NA,23,29
2,Double Dragon,2,1,1,Double Dragon,1994,2,NA,NA,13,26
3,Street Fighter,2,1,1,Street Fighter,1994,2,NA,NA,10,20
4,Mortal Kombat,2,1,1,Mortal Kombat,1995,2,58,8.4,47,57
5,Mortal Kombat: Annihilation,2,1,1,Mortal Kombat,1997,2,11,7.9,2,25
6,Wing Commander,2,1,1,Wing Commander,1999,2,21,4.9,10,25
7,Lara Croft: Tomb Raider,2,1,1,Lara Croft,2001,2,33,5.9,20,47
8,Resident Evil,2,1,1,Resident Evil,2002,3,33,6.7,36,67
9,Lara Croft: Tomb Raider - The Cradle Of Life,2,1,1,Lara Croft,2003,2,43,7.9,24,44
10,House of the Dead,2,1,1,House of the Dead,2003,3,15,1.4,3,10
11,Resident Evil: Apocalypse,2,1,1,Resident Evil,2004,3,35,6.3,20,60
12,Alone in the Dark,2,1,1,Alone in the Dark,2005,3,9,1.6,1,11
13,Doom,2,1,1,Doom,2005,3,34,5.6,19,34
14,BloodRayne,2,1,1,BloodRayne,2006,3,18,7.6,4,17
15,Silent Hill,2,1,1,Silent Hill,2006,3,31,7.9,31,63
16,DOA: Dead or Alive,2,1,1,DOA,2006,2,38,7.7,33,36
17,Resident Evil: Extinction,2,1,1,Resident Evil,2007,3,41,6.2,24,58
18,Postal,2,1,1,Postal,2007,3,22,6.3,9,34
19,Hitman,2,1,1,Hitman,2007,3,35,6.4,16,57
20,In the Name of the King: A Dungeon Siege Tale,2,1,1,In the Name of the King,2008,2,15,7.7,4,23
21,Far Cry,2,1,1,Far Cry,2008,3,NA,NA,NA,12
22,Max Payne,2,1,1,Max Payne,2008,2,31,5.2,16,29
23,Street Fighter: The Legend of Chun-Li,2,1,1,Street Fighter,2009,2,17,3.3,5,18
24,Tekken,2,1,1,Tekken,2010,3,NA,NA,NA,31
25,Prince of Persia: The Sands of Time,2,1,1,Prince of Persia,2010,2,50,7.2,37,58
26,Resident Evil: Afterlife,2,1,1,Resident Evil,2010,3,37,5.5,22,48
27,Resident Evil: Retribution,2,1,1,Resident Evil,2012,3,39,5.1,29,51
28,Silent Hill: Revelation,2,1,1,Silent Hill,2012,3,16,4.8,10,35
29,Need for Speed,2,1,1,Need for Speed,2014,2,39,6.5,23,57
30,Hitman: Agent 47,2,1,1,Hitman,2015,3,28,4.2,9,40
31,Warcraft,2,1,1,Warcraft,2016,2,32,8.2,28,76
32,Assassin's Creed,2,1,1,Assassin's Creed,2016,2,36,6.1,18,43
33,Resident Evil: The Final Chapter,2,1,1,Resident Evil,2017,3,49,5.1,37,48
34,Tomb Raider,2,1,1,Tomb Raider,2018,2,48,6.3,51,55
35,Rampage,2,1,1,Rampage,2018,2,45,5.7,52,71
36,Dead Trigger,2,1,1,Dead Trigger,2019,3,NA,NA,NA,7
37,Detective Pikachu,2,1,1,Pokemon,2019,1,53,7.5,68,79
38,Sonic the Hedgehog,2,1,1,Sonic,2020,1,47,8.3,64,93
39,Final Fantasy: The Spirits Within,1,1,1,Final Fantasy,2001,2,49,6.2,45,48
